,t_shem_esek,t_hesber_mahut_esek,t_categoria,t_ktovet,mahuiot,cords
0,קפה בכיכר,"4.2ב - בית אוכל להכנה והגשת תה וקפה, הכנה ומכירת כריכים.",מזון,הא באייר 48 ,"בית אוכל להכנה והגשת סלטים, כריכים כולל חביתות הגשת אוכל מוכן, מיני מאפה ,עוגות מוכנות ממקור מאושר,לרבות הגשת משקאות משכרים לצריכה במקום לעסק מחסן חיצוני בתיק רישוי 64299 ברחוב ה""א באייר 38).,","(32.087411, 34.791158)"
2,ספיד- סייקל,מוסך לתיקון אופנועים וקטנועים.,רכב ותחבורה,שוקן זלמן 4 ,"מוסך לתיקון אופנועים וקטנועים.,תיקון תקרים.,מכירת חלקי חילוף לאופנועים וקטנועים.,מכירת אופנועים.,","(32.054273, 34.772018)"
3,רמי שירותי רכב,מוסך לתיקון כלי רכב (מכונאות רכב).,רכב ותחבורה,תושיה 4 ,"מוסך לתיקון כלי רכב (מכונאות רכב).,","(32.066639, 34.787936)"
11,מרכז קהילתי ערבי-יהודי,מכון כושר.,עינוג ציבורי כללי,קדם 109 ,"מכון כושר.,","(32.041128, 34.747845)"
12,סופק קליק,"סופרמרקט (מכלת + מכירת מצרכי מזון, גבינות, נקניק, סלטים ארוזים). דברי מאפה ארוזים ממקור מאושר בחוק , מכירת מוצרי חלב, דגים קפואים סלטים וירקות קפואים.",מזון,לילינבלום 22 ,"סופרמרקט (מכלת + מכירת מצרכי מזון, גבינות, נקניק, סלטים ארוזים). דברי מאפה ארוזים ממקור מאושר בחוק , מכירת מוצרי חלב, דגים קפואים סלטים וירקות קפואים.,מכירת פירות וירקות.,","(32.061989, 34.769617)"
13,סופר זול אקספרס,מכלת (מינימרקט),מזון,ארלוזורוב 147 ,"מכלת (מינימרקט),מעדניה,מכירת עופות בשר דגים וירקות (קפואים), בצקים.,מכירת פירות וירקות,","(32.083183, 34.792422)"
15,דפוס שמואלי,בית דפוס,"תעשיה, כימיה, מחצב",לילינבלום 14 ,"בית דפוס,","(32.3250343, 34.8589051)"
16,טבק עוז,"6.14 - מוצרי טבק לסוגיו - מקום למכירה קמעונאית שאינו טעון רישוי לפי פרט אחר בתוספת זו
",מסחר ושונות,המלך ג'ורג' 6 ,"מוצרי טבק לסוגיו - מקום למכירה קמעונאית שאינו טעון רישוי לפי פרט אחר בתוספת זו
,","(31.7828125, 35.2174836)"
17,איטיו ארי שופ,"4.7 ב - מרכול - מקום לממכר מזון ומוצרי צריכה לשימוש אישי או ביתי, שאין בו טיפול במזון לרבות משלוח מזון

",מזון,הר ציון 17 ,"4.7 ב - מרכול - מקום לממכר מזון ומוצרי צריכה לשימוש אישי או ביתי, שאין בו טיפול במזון לרבות משלוח מזון

,","(32.057509, 34.777152)"
26,סלון סימה וחזי,מספרה .,"בריאות, רוקחות, קוסמטיקה",רזיאל דוד 8 ,"מספרה .,טיפול יופי קוסמטיקה- איפור קבוע, פדיקור מניקור.,","(31.7269654, 34.7444565)"
