סמל_ישוב,שם_ישוב,סמל_נפה,נפה,קוד_לשכת_מנא,לשכת_מנא,קוד_מועצה_אזורית,מועצה_אזורית,סהכ,גיל_0_5,גיל_6_18,גיל_19_45,גיל_46_55,גיל_56_64,גיל_65_פלוס
0 ,לא רשום ,0 ,לא ידוע ,0 , ,0 , ,28091 ,5057 ,2403 ,1209 ,621 ,656 ,18145
7 ,שחר ,61 ,אשקלון ,61 ,אשקלון ,50 ,לכיש ,787 ,68 ,197 ,265 ,94 ,73 ,90
10 ,תירוש ,11 ,ירושלים ,13 ,בית שמש ,26 ,מטה יהודה ,444 ,37 ,79 ,155 ,53 ,57 ,63
11 ,ניר ח"ן ,61 ,אשקלון ,61 ,אשקלון ,50 ,לכיש ,637 ,49 ,136 ,203 ,83 ,62 ,104
13 ,חצבה ,62 ,באר שבע ,63 ,אילת ,54 ,הערבה התיכונה ,735 ,46 ,203 ,202 ,99 ,38 ,147
15 ,נועם ,61 ,אשקלון ,61 ,אשקלון ,34 ,שפיר ,458 ,44 ,100 ,156 ,55 ,43 ,60
16 ,בית ניר ,61 ,אשקלון ,61 ,אשקלון ,35 ,יואב ,698 ,33 ,196 ,206 ,128 ,57 ,78
18 ,שדה משה ,61 ,אשקלון ,61 ,אשקלון ,50 ,לכיש ,645 ,65 ,182 ,198 ,77 ,44 ,79
21 ,באר אורה ,62 ,באר שבע ,63 ,אילת ,53 ,חבל אילות ,1211 ,82 ,424 ,367 ,230 ,69 ,39
22 ,מקווה ישראל ,53 ,חולון ,53 ,חולון ,0 , ,220 ,22 ,30 ,83 ,33 ,16 ,36
23 ,אמציה ,61 ,אשקלון ,61 ,אשקלון ,50 ,לכיש ,242 ,28 ,60 ,85 ,21 ,15 ,33
24 ,לכיש ,61 ,אשקלון ,61 ,אשקלון ,50 ,לכיש ,883 ,57 ,202 ,293 ,142 ,86 ,103
26 ,ראש פינה ,21 ,צפת ,21 ,צפת ,0 , ,3491 ,260 ,684 ,1176 ,442 ,330 ,599
27 ,שדות מיכה ,11 ,ירושלים ,13 ,בית שמש ,26 ,מטה יהודה ,397 ,29 ,98 ,126 ,45 ,40 ,59
28 ,מזכרת בתיה ,44 ,רחובות ,44 ,רחובות ,0 , ,16887 ,1241 ,4571 ,5568 ,2457 ,1289 ,1761
29 ,יסוד המעלה ,21 ,צפת ,21 ,צפת ,0 , ,1823 ,135 ,342 ,648 ,267 ,176 ,255
31 ,אופקים ,62 ,באר שבע ,62 ,באר שבע ,0 , ,37674 ,5442 ,8590 ,13995 ,3222 ,2694 ,3731
32 ,עוצם ,61 ,אשקלון ,61 ,אשקלון ,50 ,לכיש ,699 ,81 ,158 ,235 ,74 ,71 ,80
33 ,בת שלמה ,32 ,חדרה ,32 ,חדרה ,15 ,חוף הכרמל ,652 ,49 ,159 ,235 ,76 ,58 ,75
35 ,גדות ,21 ,צפת ,21 ,צפת ,1 ,הגליל העליון ,524 ,43 ,98 ,168 ,58 ,47 ,110
36 ,שדה דוד ,61 ,אשקלון ,61 ,אשקלון ,50 ,לכיש ,713 ,84 ,181 ,258 ,73 ,36 ,81
37 ,איתן ,61 ,אשקלון ,61 ,אשקלון ,34 ,שפיר ,582 ,79 ,129 ,220 ,48 ,49 ,57
38 ,כרי דשא ,22 ,כנרת ,22 ,טבריה ,6 ,עמק הירדן ,3 ,0 ,0 ,0 ,0 ,1 ,2
39 ,גפן ,11 ,ירושלים ,13 ,בית שמש ,26 ,מטה יהודה ,401 ,39 ,93 ,133 ,41 ,46 ,49
41 ,אליכין ,41 ,השרון ,32 ,חדרה ,0 , ,3700 ,310 ,749 ,1268 ,462 ,401 ,510
43 ,מטולה ,21 ,צפת ,21 ,צפת ,0 , ,1875 ,131 ,239 ,825 ,196 ,183 ,301
44 ,זוהר ,61 ,אשקלון ,61 ,אשקלון ,50 ,לכיש ,363 ,28 ,80 ,130 ,36 ,28 ,61
46 ,יבנאל ,22 ,כנרת ,22 ,טבריה ,0 , ,4692 ,568 ,1476 ,1517 ,370 ,339 ,422
47 ,כפר תבור ,22 ,כנרת ,22 ,טבריה ,0 , ,4949 ,333 ,1208 ,1609 ,663 ,467 ,669
48 ,מנחמיה ,22 ,כנרת ,22 ,טבריה ,7 ,עמק המעיינות ,1262 ,104 ,212 ,445 ,148 ,122 ,231
49 ,אילניה ,22 ,כנרת ,22 ,טבריה ,3 ,הגליל התחתון ,597 ,26 ,108 ,222 ,78 ,79 ,84
52 ,לוזית ,11 ,ירושלים ,13 ,בית שמש ,26 ,מטה יהודה ,849 ,81 ,266 ,274 ,114 ,59 ,55
53 ,עתלית ,32 ,חדרה ,32 ,חדרה ,15 ,חוף הכרמל ,10836 ,1282 ,2711 ,3623 ,1275 ,691 ,1254
55 ,נוגה ,61 ,אשקלון ,61 ,אשקלון ,50 ,לכיש ,608 ,52 ,132 ,197 ,83 ,45 ,99
57 ,כנרת )קבוצה( ,22 ,כנרת ,22 ,טבריה ,6 ,עמק הירדן ,875 ,50 ,166 ,286 ,115 ,79 ,179
58 ,מצפה ,22 ,כנרת ,22 ,טבריה ,3 ,הגליל התחתון ,148 ,10 ,22 ,45 ,18 ,16 ,37
59 ,נחושה ,11 ,ירושלים ,13 ,בית שמש ,26 ,מטה יהודה ,1577 ,130 ,615 ,539 ,193 ,48 ,52
62 ,דגניה א' ,22 ,כנרת ,22 ,טבריה ,6 ,עמק הירדן ,687 ,53 ,100 ,233 ,80 ,58 ,163
63 ,כנרת )מושבה( ,22 ,כנרת ,22 ,טבריה ,6 ,עמק הירדן ,696 ,50 ,93 ,250 ,92 ,87 ,124
64 ,יד רמב"ם ,43 ,רמלה ,43 ,רמלה ,30 ,גזר ,1248 ,117 ,267 ,442 ,142 ,115 ,165
65 ,מגדל ,22 ,כנרת ,22 ,טבריה ,0 , ,2129 ,202 ,475 ,735 ,215 ,231 ,271
66 ,מרחביה )קיבוץ( ,23 ,עפולה ,23 ,עפולה ,9 ,עמק יזרעאל ,1413 ,93 ,348 ,418 ,225 ,92 ,237
67 ,אור הנר ,61 ,אשקלון ,61 ,אשקלון ,37 ,שער הנגב ,971 ,94 ,228 ,340 ,125 ,57 ,127
69 ,ניר עוז ,62 ,באר שבע ,62 ,באר שבע ,38 ,אשכול ,484 ,42 ,101 ,151 ,48 ,41 ,101
70 ,אשדוד ,61 ,אשקלון ,69 ,אשדוד ,0 , ,256537 ,22822 ,51489 ,84199 ,29617 ,23739 ,44671
71 ,אשבול ,62 ,באר שבע ,62 ,באר שבע ,42 ,מרחבים ,674 ,52 ,199 ,217 ,89 ,45 ,72
72 ,גן שמואל ,32 ,חדרה ,32 ,חדרה ,14 ,מנשה ,1244 ,113 ,212 ,359 ,174 ,101 ,285
74 ,עין הוד ,32 ,חדרה ,32 ,חדרה ,15 ,חוף הכרמל ,704 ,45 ,134 ,209 ,110 ,86 ,120
76 ,כפר גלעדי ,21 ,צפת ,21 ,צפת ,1 ,הגליל העליון ,778 ,46 ,130 ,241 ,122 ,57 ,182
77 ,איילת השחר ,21 ,צפת ,21 ,צפת ,1 ,הגליל העליון ,1162 ,64 ,251 ,344 ,174 ,85 ,244
78 ,קרית ענבים ,11 ,ירושלים ,13 ,בית שמש ,26 ,מטה יהודה ,413 ,24 ,77 ,125 ,65 ,42 ,80
79 ,דגניה ב' ,22 ,כנרת ,22 ,טבריה ,6 ,עמק הירדן ,829 ,65 ,159 ,248 ,122 ,78 ,157
80 ,נהלל ,23 ,עפולה ,23 ,עפולה ,9 ,עמק יזרעאל ,1247 ,140 ,283 ,436 ,126 ,97 ,165
82 ,עין חרוד )מאוחד( ,23 ,עפולה ,23 ,עפולה ,8 ,הגלבוע ,950 ,59 ,181 ,293 ,131 ,72 ,214
84 ,תל יוסף ,23 ,עפולה ,23 ,עפולה ,8 ,הגלבוע ,586 ,52 ,147 ,160 ,81 ,39 ,107
85 ,כפר יחזקאל ,23 ,עפולה ,23 ,עפולה ,8 ,הגלבוע ,1170 ,113 ,306 ,389 ,162 ,54 ,146
86 ,גבע ,23 ,עפולה ,23 ,עפולה ,8 ,הגלבוע ,703 ,49 ,115 ,236 ,84 ,68 ,151
88 ,כרם בן שמן ,43 ,רמלה ,43 ,רמלה ,25 ,חבל מודיעין ,93 ,10 ,22 ,18 ,14 ,6 ,23
89 ,עין חרוד )איחוד( ,23 ,עפולה ,23 ,עפולה ,8 ,הגלבוע ,738 ,44 ,139 ,210 ,88 ,69 ,188
90 ,חפצי-בה ,23 ,עפולה ,23 ,עפולה ,8 ,הגלבוע ,884 ,63 ,203 ,276 ,110 ,62 ,170
92 ,גיניגר ,23 ,עפולה ,23 ,עפולה ,9 ,עמק יזרעאל ,808 ,51 ,173 ,243 ,110 ,83 ,148
94 ,בלפוריה ,23 ,עפולה ,23 ,עפולה ,9 ,עמק יזרעאל ,612 ,54 ,154 ,198 ,85 ,37 ,84
95 ,בית אלפא ,23 ,עפולה ,23 ,עפולה ,8 ,הגלבוע ,1338 ,131 ,269 ,477 ,121 ,103 ,237
96 ,יגור ,31 ,חיפה ,31 ,חיפה ,12 ,זבולון ,1920 ,138 ,343 ,708 ,262 ,123 ,346
97 ,מרחביה )מושב( ,23 ,עפולה ,23 ,עפולה ,9 ,עמק יזרעאל ,779 ,48 ,139 ,280 ,103 ,93 ,116
98 ,כפר מל"ל ,42 ,פתח תקווה ,47 ,כפר סבא ,20 ,דרום השרון ,377 ,32 ,68 ,108 ,49 ,36 ,84
99 ,מצפה רמון ,62 ,באר שבע ,62 ,באר שבע ,0 , ,5631 ,632 ,1147 ,2247 ,510 ,430 ,665
102 ,מאיר שפיה ,32 ,חדרה ,32 ,חדרה ,15 ,חוף הכרמל ,173 ,9 ,43 ,70 ,15 ,9 ,27
103 ,תל עדשים ,23 ,עפולה ,23 ,עפולה ,9 ,עמק יזרעאל ,1373 ,109 ,382 ,424 ,236 ,112 ,110
104 ,מזרע ,23 ,עפולה ,23 ,עפולה ,9 ,עמק יזרעאל ,992 ,93 ,171 ,300 ,105 ,93 ,230
106 ,כפר גדעון ,23 ,עפולה ,23 ,עפולה ,9 ,עמק יזרעאל ,337 ,38 ,99 ,116 ,28 ,17 ,39
107 ,כפר סילבר ,61 ,אשקלון ,61 ,אשקלון ,36 ,חוף אשקלון ,132 ,6 ,15 ,67 ,21 ,14 ,9
112 ,כפר חסידים א' ,31 ,חיפה ,31 ,חיפה ,12 ,זבולון ,779 ,73 ,189 ,241 ,85 ,54 ,137
113 ,אדירים ,23 ,עפולה ,23 ,עפולה ,8 ,הגלבוע ,330 ,26 ,73 ,110 ,47 ,31 ,43
